batter_id,batter_name,year,team,avg,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,height/weight,year_born,position,career,starting_salary,OPS,1B,1b_luck,2b_luck,3b_luck,lag_1_avg,lag_2_avg,lag_3_avg,lag_1_G,lag_2_G,lag_3_G,lag_1_AB,lag_2_AB,lag_3_AB,lag_1_R,lag_2_R,lag_3_R,lag_1_H,lag_2_H,lag_3_H,lag_1_2B,lag_2_2B,lag_3_2B,lag_1_3B,lag_2_3B,lag_3_3B,lag_1_HR,lag_2_HR,lag_3_HR,lag_1_TB,lag_2_TB,lag_3_TB,lag_1_RBI,lag_2_RBI,lag_3_RBI,lag_1_SB,lag_2_SB,lag_3_SB,lag_1_CS,lag_2_CS,lag_3_CS,lag_1_BB,lag_2_BB,lag_3_BB,lag_1_HBP,lag_2_HBP,lag_3_HBP,lag_1_SO,lag_2_SO,lag_3_SO,lag_1_GDP,lag_2_GDP,lag_3_GDP,lag_1_SLG,lag_2_SLG,lag_3_SLG,lag_1_OBP,lag_2_OBP,lag_3_OBP,lag_1_E,lag_2_E,lag_3_E,lag_1_1b_luck,lag_2_1b_luck,lag_3_1b_luck,lag_1_2b_luck,lag_2_2b_luck,lag_3_2b_luck,lag_1_3b_luck,lag_2_3b_luck,lag_3_3b_luck
0,가르시아,2018,LG,0.350,7,20,1,7,1,0,1,11,5,0,0,2,0,3,1,0.55,0.409,1,177cm/93kg,1985년 04월 12일,내야수(우투우타),쿠바 Ciego de Avila Maximo Gomez Baez(대),,0.959,5,0.3125,0.0625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,강경학,2011,한화,0.000,4,2,2,0,0,0,0,0,1,0,1,0,2,1,0,0.0,0.5,0,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.5,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,강경학,2014,한화,-,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,,0,,,,,,0.000,,,4.0,,,2.0,,,2.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,1.0,,,0.0,,,2.0,,,1.0,,,0.0,,,0.0,,,0.5,,,0.0,,,0.0,,,0.0,,,0.0
1,강경학,2015,한화,0.130,10,23,3,3,0,0,0,3,1,3,0,4,1,9,0,0.13,0.28600000000000003,2,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.41600000000000004,3,0.21428571428571427,0.0,0.0,-,,,4.0,,,0.0,,,2.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,
1,강경학,2016,한화,0.188,14,32,4,6,1,1,0,9,2,1,2,0,1,10,0,0.281,0.212,0,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.493,4,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.130,-,,10.0,4.0,,23.0,0.0,,3.0,2.0,,3.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.0,0.0,,1.0,0.0,,3.0,0.0,,0.0,0.0,,4.0,0.0,,1.0,0.0,,9.0,0.0,,0.0,0.0,,0.13,,,0.28600000000000003,,,2.0,0.0,,0.21428571428571427,,,0.0,,,0.0,,
1,강경학,2017,한화,0.222,11,36,10,8,0,0,2,14,4,0,0,3,0,10,0,0.389,0.282,1,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.6709999999999999,6,0.25,0.0,0.0,0.188,0.130,-,14.0,10.0,4.0,32.0,23.0,0.0,4.0,3.0,2.0,6.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.281,0.13,,0.212,0.28600000000000003,,0.0,2.0,0.0,0.18181818181818182,0.21428571428571427,,0.045454545454545456,0.0,,0.045454545454545456,0.0,
2,강구성,2013,NC,0.000,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,강구성,2016,NC,0.000,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.5,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0.5,0,0.0,0.0,0.0,,,0.000,,,3.0,,,4.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
2,강구성,2017,NC,1.000,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,2.0,1,1.0,0.0,0.0,0.000,,,3.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,1.0,,,0.0,,,0.0,,,1.0,,,0.0,,,0.5,,,0.0,,,0.0,,,0.0,,,0.0,,
69,김태완,2006,한화,0.200,10,15,0,3,0,0,0,3,3,0,0,1,1,5,1,0.2,0.278,0,189cm/105kg,1984년 01월 27일,내야수(우투우타),양목초-신월중-중앙고-성균관대-한화,11000만원,0.478,3,0.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
