batter_id,batter_name,year,team,avg,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,height/weight,year_born,position,career,starting_salary,OPS,lag_1_avg,lag_2_avg,lag_3_avg,lag_1_G,lag_2_G,lag_3_G,lag_1_AB,lag_2_AB,lag_3_AB,lag_1_R,lag_2_R,lag_3_R,lag_1_H,lag_2_H,lag_3_H,lag_1_2B,lag_2_2B,lag_3_2B,lag_1_3B,lag_2_3B,lag_3_3B,lag_1_HR,lag_2_HR,lag_3_HR,lag_1_TB,lag_2_TB,lag_3_TB,lag_1_RBI,lag_2_RBI,lag_3_RBI,lag_1_SB,lag_2_SB,lag_3_SB,lag_1_CS,lag_2_CS,lag_3_CS,lag_1_BB,lag_2_BB,lag_3_BB,lag_1_HBP,lag_2_HBP,lag_3_HBP,lag_1_SO,lag_2_SO,lag_3_SO,lag_1_GDP,lag_2_GDP,lag_3_GDP,lag_1_SLG,lag_2_SLG,lag_3_SLG,lag_1_OBP,lag_2_OBP,lag_3_OBP,lag_1_E,lag_2_E,lag_3_E,1B,1b_luck,2b_luck,3b_luck,lag_1_1b_luck,lag_2_1b_luck,lag_3_1b_luck,lag_1_2b_luck,lag_2_2b_luck,lag_3_2b_luck,lag_1_3b_luck,lag_2_3b_luck,lag_3_3b_luck
0,가르시아,2018,LG,0.33899999999999997,50,183,27,62,9,0,8,95,34,5,0,9,8,25,3,0.519,0.38299999999999995,9,177cm/93kg,1985년 04월 12일,내야수(우투우타),쿠바 Ciego de Avila Maximo Gomez Baez(대),,0.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0.3,0.06,0.0,,,,,,,,,
1,강경학,2011,한화,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
1,강경학,2014,한화,0.221,41,86,11,19,2,3,1,30,7,0,0,13,2,28,1,0.349,0.337,6,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.6859999999999999,,,0.0,,,2.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,,1.0,13,0.22807017543859648,0.03508771929824561,0.05263157894736842,,,,,,,,,
1,강경학,2015,한화,0.257,120,311,50,80,7,4,2,101,27,4,3,40,5,58,3,0.325,0.348,15,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.6729999999999999,0.221,,,41.0,,,86.0,,,11.0,,,19.0,,,2.0,,,3.0,,,1.0,,,30.0,,,7.0,,,0.0,,,0.0,,,13.0,,,2.0,,,28.0,,,1.0,,,0.349,,,0.337,,,6.0,,,67,0.26693227091633465,0.027888446215139442,0.01593625498007968,0.22807017543859648,,,0.03508771929824561,,,0.05263157894736842,,
1,강경학,2016,한화,0.158,46,101,16,16,3,2,1,26,7,0,0,8,2,30,5,0.257,0.23199999999999998,7,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.489,0.257,0.221,,120.0,41.0,,311.0,86.0,,50.0,11.0,,80.0,19.0,,7.0,2.0,,4.0,3.0,,2.0,1.0,,101.0,30.0,,27.0,7.0,,4.0,0.0,,3.0,0.0,,40.0,13.0,,5.0,2.0,,58.0,28.0,,3.0,1.0,,0.325,0.349,,0.348,0.337,,15.0,6.0,,10,0.14285714285714285,0.04285714285714286,0.02857142857142857,0.26693227091633465,0.22807017543859648,,0.027888446215139442,0.03508771929824561,,0.01593625498007968,0.05263157894736842,
1,강경학,2017,한화,0.214,59,84,17,18,2,1,0,22,4,1,1,8,1,19,1,0.262,0.29,4,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.552,0.158,0.257,0.221,46.0,120.0,41.0,101.0,311.0,86.0,16.0,50.0,11.0,16.0,80.0,19.0,3.0,7.0,2.0,2.0,4.0,3.0,1.0,2.0,1.0,26.0,101.0,30.0,7.0,27.0,7.0,0.0,4.0,0.0,0.0,3.0,0.0,8.0,40.0,13.0,2.0,5.0,2.0,30.0,58.0,28.0,5.0,3.0,1.0,0.257,0.325,0.349,0.23199999999999998,0.348,0.337,7.0,15.0,6.0,15,0.23076923076923078,0.03076923076923077,0.015384615384615385,0.14285714285714285,0.26693227091633465,0.22807017543859648,0.04285714285714286,0.027888446215139442,0.03508771929824561,0.02857142857142857,0.01593625498007968,0.05263157894736842
1,강경학,2018,한화,0.278,77,245,42,68,11,1,5,96,27,6,3,38,4,59,7,0.392,0.382,2,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.774,0.214,0.158,0.257,59.0,46.0,120.0,84.0,101.0,311.0,17.0,16.0,50.0,18.0,16.0,80.0,2.0,3.0,7.0,1.0,2.0,4.0,0.0,1.0,2.0,22.0,26.0,101.0,4.0,7.0,27.0,1.0,0.0,4.0,1.0,0.0,3.0,8.0,8.0,40.0,1.0,2.0,5.0,19.0,30.0,58.0,1.0,5.0,3.0,0.262,0.257,0.325,0.29,0.23199999999999998,0.348,4.0,7.0,15.0,51,0.281767955801105,0.06077348066298342,0.0055248618784530384,0.23076923076923078,0.14285714285714285,0.26693227091633465,0.03076923076923077,0.04285714285714286,0.027888446215139442,0.015384615384615385,0.02857142857142857,0.01593625498007968
2,강구성,2013,NC,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,,,,,,
2,강구성,2015,NC,0.2,4,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0.4,0.2,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0.6000000000000001,,0.0,,,2.0,,,2.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0,0.0,0.2,0.0,,0.0,,,0.0,,,0.0,
2,강구성,2016,NC,0.0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0.0,0.2,,0.0,4.0,,2.0,5.0,,2.0,0.0,,0.0,1.0,,0.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.4,,0.0,0.2,,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.2,,0.0,0.0,,0.0
