SKU_NAME,unitem2,keyword,color,day_avg,sum_revenue,discount_avg,tag_price,tagprice_level,dc_rate_level,sum_revenue_level,avg_revenue,avg_revenue_level,material,rate_salezero,sum_salescount,avg_salescount,highavg_salescount,steady,spot,popitem,SKU_CODE,BRAND_NAME
애쉬 브이넥 피나포어 니트 원피스,애쉬브이넥피나포어니트원피스,피나포어 니트 ,애쉬              ,2,0,0,39900,tagprice0_25,dc_rate0_25,sum_revenue0_25,0,avg_revenue0_25,폴리에스터 아크릴                ,100,0,0,0,기타,기타,기타,16815USY24,8SECONDS
여성 애쉬 브이넥 피나포어 니트 원피스 (16815USY24),여성애쉬브이넥피나포어니트원피스,피나포어 니트 ,애쉬              ,163,7581000,17.38460123,39900,tagprice0_25,dc_rate50_75,sum_revenue25_50,46509.20245,avg_revenue25_50,폴리에스터 아크릴                ,69.93865031,190,1.165644172,18,steady,기타,기타,16815USY24,8SECONDS
애쉬 체크 브이넥 피나포어 원피스,애쉬체크브이넥피나포어원피스,체크 피나포어 ,애쉬              ,20,1097800,37.074,49900,tagprice0_25,dc_rate75_100,sum_revenue0_25,54890,avg_revenue25_50,면 폴리에스터  레이온  폴리에스터              ,20,22,1.1,1,steady,기타,기타,168171WY14,8SECONDS
여성 애쉬 체크 브이넥 피나포어 원피스 (168171WY14),여성애쉬체크브이넥피나포어원피스,체크 피나포어 ,애쉬              ,171,6936100,20.83777778,49900,tagprice0_25,dc_rate50_75,sum_revenue25_50,40561.9883,avg_revenue25_50,면 폴리에스터  레이온  폴리에스터              ,76.02339181,139,0.812865497,18,steady,기타,기타,168171WY14,8SECONDS
블랙 트위드 진주 포켓 머메이드 원피스,블랙트위드진주포켓머메이드원피스,머메이드  ,검정색              ,8,599000,27.12875,59900,tagprice0_25,dc_rate75_100,sum_revenue0_25,74875,avg_revenue50_75,폴리에스터 모  기타섬유  아크릴  폴리에스터             ,12.5,10,1.25,1,steady,기타,기타,128171BZ75,8SECONDS
여성 블랙 트위드 진주 포켓 머메이드 원피스 (128171BZ75),여성블랙트위드진주포켓머메이드원피스,머메이드  ,검정색              ,168,2995000,14.83869048,59900,tagprice0_25,dc_rate50_75,sum_revenue25_50,17827.38095,avg_revenue0_25,폴리에스터 모  기타섬유  아크릴  폴리에스터             ,82.73809524,50,0.297619048,29,steady,기타,인기상품,128171BZ75,8SECONDS
[COLLECTION LINE] 스카이 블루 보트넥 벨티드 원피스,스카이블루보트넥벨티드원피스,벨트  ,하늘색              ,5,0,48.404,459000,tagprice75_100,dc_rate75_100,sum_revenue0_25,0,avg_revenue0_25,면                ,100,0,0,0,기타,기타,기타,BF7371S01Q,BEANPOLELADIES
블루 텐셀 배색 원피스,블루텐셀배색원피스,기타  ,파란색              ,14,6821000,8.571428571,359000,tagprice75_100,dc_rate0_25,sum_revenue25_50,487214.2857,avg_revenue75_100,레이온 면  폴리에스터               ,0,19,1.357142857,1,steady,기타,기타,BF7771U04P,BEANPOLELADIES
블루 텐셀 배색 원피스 (BF7771U04P),블루텐셀배색원피스,기타  ,파란색              ,169,25848000,26.32053254,359000,tagprice75_100,dc_rate75_100,sum_revenue75_100,152946.7456,avg_revenue75_100,레이온 면  폴리에스터               ,84.02366864,72,0.426035503,27,steady,spot,인기상품,BF7771U04P,BEANPOLELADIES
네이비 텐셀 배색 원피스,네이비텐셀배색원피스,기타  ,남색              ,6,1436000,30,359000,tagprice75_100,dc_rate75_100,sum_revenue0_25,239333.3333,avg_revenue75_100,레이온 면  폴리에스터               ,50,4,0.666666667,1,steady,기타,기타,BF7771U04R,BEANPOLELADIES
네이비 텐셀 배색 원피스 (BF7771U04R_),네이비텐셀배색원피스,기타  ,남색              ,99,7180000,19.74272727,359000,tagprice75_100,dc_rate50_75,sum_revenue25_50,72525.25253,avg_revenue50_75,레이온 면  폴리에스터               ,93.93939394,20,0.202020202,6,기타,기타,기타,BF7771U04R,BEANPOLELADIES
그레이 여성 스트라이프 원피스,그레이여성스트라이프원피스,스트라이프  ,회색              ,45,2368000,48.53333333,148000,tagprice25_50,dc_rate75_100,sum_revenue0_25,52622.22222,avg_revenue25_50,면                ,68.88888889,16,0.355555556,14,steady,기타,기타,BO7365C033,BEANPOLEOUTDOOR
그레이 여성 스트라이프 원피스 (BO7365C033),그레이여성스트라이프원피스,스트라이프  ,회색              ,164,4440000,31.55902439,148000,tagprice25_50,dc_rate75_100,sum_revenue25_50,27073.17073,avg_revenue25_50,면                ,89.63414634,30,0.182926829,17,기타,기타,기타,BO7365C033,BEANPOLEOUTDOOR
화이트 여성 피케 폴로 베이직 원피스,화이트여성피케폴로베이직원피스,기타  ,흰색              ,44,2070000,50.63636364,138000,tagprice25_50,dc_rate75_100,sum_revenue0_25,47045.45455,avg_revenue25_50,면 폴리우레탄                ,72.72727273,15,0.340909091,12,steady,기타,기타,BO7442C061,BEANPOLEOUTDOOR
화이트 여성 피케 폴로 베이직 원피스 (BO7442C061),화이트여성피케폴로베이직원피스,기타  ,흰색              ,165,18354000,24.60963636,96600,tagprice0_25,dc_rate75_100,sum_revenue50_75,111236.3636,avg_revenue50_75,면 폴리우레탄                ,75.15151515,190,1.151515152,18,steady,기타,기타,BO7442C061,BEANPOLEOUTDOOR
브라운 체크 울 슬리브리스 원피스,브라운체크울슬리브리스원피스,체크  ,밤색              ,31,17955000,4.838709677,399000,tagprice75_100,dc_rate0_25,sum_revenue50_75,579193.5484,avg_revenue75_100,모 폴리에스터                ,6.451612903,45,1.451612903,3,steady,기타,기타,BF7871C01D,BEANPOLELADIES
브라운 체크 울 슬리브리스 원피스 (BF7871C01D_),브라운체크울슬리브리스원피스,체크  ,밤색              ,112,6384000,19.25964286,399000,tagprice75_100,dc_rate50_75,sum_revenue25_50,57000,avg_revenue50_75,모 폴리에스터                ,89.28571429,16,0.142857143,12,기타,기타,기타,BF7871C01D,BEANPOLELADIES
네이비 여성 COOL-ACT 경량 베스트,네이비여성경량베스트,기타  ,남색              ,50,2052000,40.28,108000,tagprice0_25,dc_rate75_100,sum_revenue0_25,41040,avg_revenue25_50,나일론 폴리에스터  폴리우레탄               ,66,19,0.38,17,steady,기타,기타,BO7336A01R,BEANPOLEOUTDOOR
카키 여성 BREEZE 페이퍼리 롱 베스트,카키여성페이퍼리롱베스트,롱  ,카키색              ,48,708000,47.79166667,118000,tagprice0_25,dc_rate75_100,sum_revenue0_25,14750,avg_revenue0_25,나일론                ,89.58333333,6,0.125,5,기타,기타,기타,BO7436C38H,BEANPOLEOUTDOOR
반하이넥펌펌이니트원피스(MA7DKN26MB),반하이넥펌펌이니트원피스,니트  ,블랙 베이지             ,218,10112000,26.27811927,126400,tagprice25_50,dc_rate75_100,sum_revenue50_75,46385.3211,avg_revenue25_50,울 아크릴  나일론               ,94.03669725,80,0.366972477,13,기타,기타,기타,MA7DKN26MB,MARIECLAIRE
랄프 로렌 칠드런 타탄 플란넬 코튼 드레스(CWPODRSG3M10073D71),랄프로렌칠드런타탄플란넬코튼드레스,타탄  ,헌팅 타탄             ,52,1032000,9.807692308,129000,tagprice25_50,dc_rate0_25,sum_revenue0_25,19846.15385,avg_revenue0_25,면                ,92.30769231,8,0.153846154,4,기타,기타,기타,CWPODRSG3M10073D71,RALPHLAUREN
누빔 슬림라인 원피스(N134MSE020),누빔슬림라인원피스,슬림  ,아이보리 카키             ,284,69000,10.74112676,69000,tagprice0_25,dc_rate25_50,sum_revenue0_25,242.9577465,avg_revenue0_25,폴리에스터 레이온                ,99.64788732,1,0.003521127,1,기타,기타,기타,N134MSE020,NICECLAUP
저어지스판원피스(C4B05540),저어지스판원피스,기타  ,오렌지 블루             ,282,3000000,11.40053191,50000,tagprice0_25,dc_rate25_50,sum_revenue25_50,10638.29787,avg_revenue0_25,폴리에스터                ,98.58156028,60,0.212765957,4,기타,기타,기타,C4B05540,CARRIESNOTE
퀸스 원피스 N164MSE004BK,퀸스원피스,기타  ,블랙 네이비 그린            ,283,10591000,13.32371025,119000,tagprice25_50,dc_rate25_50,sum_revenue50_75,37424.02827,avg_revenue25_50,폴리에스터 폴리우레탄  폴리에스터               ,96.1130742,89,0.314487633,11,기타,기타,기타,N164MSE004BK,NICECLAUP
에닉 터크 원피스 (J152MSE112),에닉터크원피스,기타  ,레드              ,283,537000,5.41819788,179000,tagprice25_50,dc_rate0_25,sum_revenue0_25,1897.526502,avg_revenue0_25,폴리에스터 폴리에스터                ,99.64664311,3,0.010600707,1,기타,기타,기타,J152MSE112,MOJO.S.PHINE
시원한헤라간절기 원피스(CN5FOP500),시원한헤라간절기원피스,기타  ,곤색              ,166,0,27.93662651,155000,tagprice25_50,dc_rate75_100,sum_revenue0_25,0,avg_revenue0_25,폴리에스터                ,100,0,0,0,기타,기타,기타,CN5FOP500,CARRIESNOTE
네크장식포인트원피스 (J152MSE038),네크장식포인트원피스,포인트 장식 ,블랙 블루             ,284,179000,5.416725352,179000,tagprice25_50,dc_rate0_25,sum_revenue0_25,630.2816901,avg_revenue0_25,0,99.64788732,1,0.003521127,1,기타,기타,기타,J152MSE038,MOJO.S.PHINE
보클면원피스 (J152MSE121),보클면원피스,기타  ,크림              ,282,895000,5.429787234,179000,tagprice25_50,dc_rate0_25,sum_revenue0_25,3173.758865,avg_revenue0_25,나일론 폴리우레탄  폴리우레탄               ,99.64539007,5,0.017730496,1,기타,기타,기타,J152MSE121,MOJO.S.PHINE
미스트가을원피스(CN5FOP190),미스트가을원피스,기타  ,오렌지 검정             ,284,2178000,9.126584507,99000,tagprice0_25,dc_rate0_25,sum_revenue0_25,7669.014085,avg_revenue0_25,폴리에스터 실크  폴리에스터               ,97.53521127,22,0.077464789,7,기타,기타,기타,CN5FOP190,CARRIESNOTE
깔끔한정장스타일원피스(CN5FOP810),깔끔한정장스타일원피스,정장  ,블랙 그린 와인            ,165,790000,9.265454545,79000,tagprice0_25,dc_rate0_25,sum_revenue0_25,4787.878788,avg_revenue0_25,폴리에스터 폴리에스터  폴리에스터               ,97.57575758,10,0.060606061,4,기타,기타,기타,CN5FOP810,CARRIESNOTE
우르 원피스 N164MSE001IV,우르원피스,기타  ,아이보리              ,283,3570000,12.70727915,119000,tagprice25_50,dc_rate25_50,sum_revenue25_50,12614.84099,avg_revenue0_25,면                ,99.64664311,30,0.106007067,1,기타,기타,기타,N164MSE001IV,NICECLAUP
편한나그랑형원피스(CN5WOP110),편한나그랑형원피스,나그랑  ,레드 검정             ,262,4041900,7.948854962,149700,tagprice25_50,dc_rate0_25,sum_revenue25_50,15427.09924,avg_revenue0_25,폴리에스터                ,98.47328244,27,0.103053435,4,기타,기타,기타,CN5WOP110,CARRIESNOTE
