ID,COLLECT_SITE_CODE,ITEM_CLASS_CODE_VIEW,TYPE_CODE_VIEW,GROUP_CODE_VIEW,ITEM_CODE_VIEW,GOODS_CODE,GOODS_NAME,SIZE
2508,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,KWA17824P,여성 FLYWALK WIDE 브라_KWA17824,1000026047297:S사이즈
2509,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,KWA17824P,여성 FLYWALK WIDE 브라_KWA17824,1000026047297:M사이즈
2510,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,KWA17824P,여성 FLYWALK WIDE 브라_KWA17824,1000026047297:L사이즈
3931,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,JKICX18152MMLSG,여성 노라인 SPORTY 브라 JKICX18152MML,1000028768582:90
3932,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,JKICX18152MMLSG,여성 노라인 SPORTY 브라 JKICX18152MML,1000028768582:95
3933,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,JKICX18152MMLSG,여성 노라인 SPORTY 브라 JKICX18152MML,1000028768582:100
4106,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,신영JWIBX18123,2018 COOLMAX 드로즈팬티,1000027857830:95
4107,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,신영JWIBX18123,2018 COOLMAX 드로즈팬티,1000027857830:100
4108,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,신영JWIBX18123,2018 COOLMAX 드로즈팬티,1000027857830:105
4169,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,NU9AI81CG,여성 비욘드 스포츠 브라(NU9AI81C),1000023392763:85
4170,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,NU9AI81CG,여성 비욘드 스포츠 브라(NU9AI81C),1000023392763:90
4171,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,NU9AI81CG,여성 비욘드 스포츠 브라(NU9AI81C),1000023392763:95
4609,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,KMA17821P,남성용 FLYWALK WIDE 런닝_KMA17821,1000026031382:M사이즈
4610,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,KMA17821P,남성용 FLYWALK WIDE 런닝_KMA17821,1000026031382:L사이즈
4611,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,KMA17821P,남성용 FLYWALK WIDE 런닝_KMA17821,1000026031382:XL사이즈
5106,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,지브라HAM팬티,블랙야크 여성 기능성 속옷 지브라HAM팬티,1000022874463:90
5107,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,지브라HAM팬티,블랙야크 여성 기능성 속옷 지브라HAM팬티,1000022874463:95
5108,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,지브라HAM팬티,블랙야크 여성 기능성 속옷 지브라HAM팬티,1000022874463:100
5963,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,MSX2UB2201,여성 심리스 스포츠 브라(MSX2UB2201),1000021469607:85
5964,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,MSX2UB2201,여성 심리스 스포츠 브라(MSX2UB2201),1000021469607:90
6450,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,LEUN7G131S,스트라이프 기능성이너웨어티셔츠LEUN7G131,1000023156300:100
7517,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,7C18004,플리즈마 사각팬티7C18004,1000022802802:95
7518,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,7C18004,플리즈마 사각팬티7C18004,1000022802802:100
7519,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,7C18004,플리즈마 사각팬티7C18004,1000022802802:105
7533,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,DMSB2C83104,남성 남성 이너형 드로우즈 DMSB2C831,1000028388065:30
7534,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,DMSB2C83104,남성 남성 이너형 드로우즈 DMSB2C831,1000028388065:32
7535,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,DMSB2C83104,남성 남성 이너형 드로우즈 DMSB2C831,1000028388065:34
7536,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,DMSB2C83104,남성 남성 이너형 드로우즈 DMSB2C831,1000028388065:36
7826,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,7C18003,"16년신상 플리즈마 삼각팬티(남성)-[기존가:28,000]7C18003",1000016154326:95
7827,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,7C18003,"16년신상 플리즈마 삼각팬티(남성)-[기존가:28,000]7C18003",1000016154326:100
7828,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,7C18003,"16년신상 플리즈마 삼각팬티(남성)-[기존가:28,000]7C18003",1000016154326:105
10676,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,카오스HAM팬티2YJ,블랙야크 여성용 캐쥬얼 입체기능성 팬티 카오스HAM팬티2YJ,1000018563027:95
10677,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,카오스HAM팬티2YJ,블랙야크 여성용 캐쥬얼 입체기능성 팬티 카오스HAM팬티2YJ,1000018563027:100
12853,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,신JKICX18112GPI,(코오롱스포츠) 여성 COOLMAX 베이직 브라 JKICX18112GPI,1000027768835:90
12854,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,신JKICX18112GPI,(코오롱스포츠) 여성 COOLMAX 베이직 브라 JKICX18112GPI,1000027768835:95
12855,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,신JKICX18112GPI,(코오롱스포츠) 여성 COOLMAX 베이직 브라 JKICX18112GPI,1000027768835:100
13814,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,JKIBX18114GPIH,2018 S/S 여성 FRESH CUPRUS(COOLMAX) BASIC 삼각팬티,1000027393450:90(S)
13815,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,JKIBX18114GPIH,2018 S/S 여성 FRESH CUPRUS(COOLMAX) BASIC 삼각팬티,1000027393450:95(M)
